movieId,title,genres
1,Zack and Miri Make a Porno,Romance
2,Youth in Revolt,Comedy
3,You Will Meet a Tall Dark Stranger,Comedy
4,When in Rome,Comedy
5,What Happens in Vegas,Comedy
6,Water For Elephants,Drama
7,WALL-E,Animation
8,Waitress,Romance
9,Waiting For Forever,Romance
10,Valentine's Day,Comedy
11,Tyler Perry's Why Did I get Married,Romance
12,Twilight: Breaking Dawn,Romance
13,Twilight,Romance
14,The Ugly Truth,Comedy
15,The Twilight Saga: New Moon,Drama
16,The Time Traveler's Wife,Drama
17,The Proposal,Comedy
18,The Invention of Lying,Comedy
19,The Heartbreak Kid,Comedy
20,The Duchess,Drama
21,The Curious Case of Benjamin Button,Fantasy
22,The Back-up Plan,Comedy
23,Tangled,Animation
24,Something Borrowed,Romance
25,She's Out of My League,Comedy
26,Sex and the City Two,Comedy
27,Sex and the City 2,Comedy
28,Sex and the City,Comedy
29,Remember Me,Drama
30,Rachel Getting Married,Drama
31,Penelope,Comedy
32,P.S. I Love You,Romance
33,Over Her Dead Body,Comedy
34,Our Family Wedding,Comedy
35,One Day,Romance
36,Not Easily Broken,Drama
37,No Reservations,Comedy
38,Nick and Norah's Infinite Playlist,Comedy
39,New Year's Eve,Romance
40,My Week with Marilyn,Drama
41,Music and Lyrics,Romance
42,Monte Carlo,Romance
43,Miss Pettigrew Lives for a Day,Comedy
44,Midnight in Paris,Romence
45,Marley and Me,Comedy
46,Mamma Mia!,Comedy
47,Mamma Mia!,Comedy
48,Made of Honor,Comdy
49,Love Happens,Drama
50,Love & Other Drugs,Comedy
51,Life as We Know It,Comedy
52,License to Wed,Comedy
53,Letters to Juliet,Comedy
54,Leap Year,Comedy
55,Knocked Up,Comedy
56,Killers,Action
57,Just Wright,Comedy
58,Jane Eyre,Romance
59,It's Complicated,Comedy
60,I Love You Phillip Morris,Comedy
61,High School Musical 3: Senior Year,Comedy
62,He's Just Not That Into You,Comedy
63,Good Luck Chuck,Comedy
64,Going the Distance,Comedy
65,Gnomeo and Juliet,Animation
66,Gnomeo and Juliet,Animation
67,Ghosts of Girlfriends Past,Comedy
68,Four Christmases,Comedy
69,Fireproof,Drama
70,Enchanted,Comedy
71,Dear John,Drama
72,Beginners,Comedy
73,Across the Universe,romance
74,A Serious Man,Drama
75,A Dangerous Method,Drama
76,27 Dresses,Comedy
77,(500) Days of Summer,comedy
